word,boundaries,gloss,lemma,POS,,,
inučelbi,inuče-l-bi,вьючный.олень-pl-poss.refl.sg,inuče,NOUN,,,
.,,,,PUNCT,,,
,,,,,,,
,,,,,,,
19,,,,,,,
on gunďir ureɲkum!,,,,,,,
Что с чудака возьмёшь!,,,,,,,
,,,,,,,
on,on,как,on,ADV,,,
gunďir,gun-ďi-r,сказать-fut-3pl,gɵndej,VERB,,,
ureɲkum,ureɲku-m,дурачок-acc,ureɲkun,NOUN,,,
!,,,,PUNCT,,,
,,,,,,,
,,,,,,,
20,,,,,,,
eŋiwende gukič.,,,,,,,
И сил ему не занимать.,,,,,,,
,,,,,,,
eŋiwende,eŋiwe-⊘-n=de,становиться.сильным-nfut-3sg=add,eŋiwdej,VERB,,,
gukič,gukič,mir,gukič,PART,,,
.,,,,PUNCT,,,
,,,,,,,
,,,,,,,
21,,,,,,,
"učikčarnə taŋčir, ďaldukta on ojčiďir molə.",,,,,,,
"Бедные ездовые упираются, ну как им подняться по стволу!",,,,,,,
,,,,,,,
učikčarnə,učik-ča-r-nə,верховой.олень-dim2-pl-poss.3sg,učikčan,NOUN,,,
taŋčir,taŋči-r-⊘,тянуть-nfut-3pl,taŋčidaj,VERB,,,
",",,,,PUNCT,,,
ďaldukta,ďalduk=ta,застёжка=add,d'alduk,NOUN,,,
on,on,как,on,ADV,,,
ojčiďir,ojči-ďi-r,подниматься-fut-3pl,ojčidaj,VERB,,,
molə,mo-lə,дерево-prol,mo,NOUN,,,
.,,,,PUNCT,,,
,,,,,,,
,,,,,,,
22,,,,,,,
"Oje bidei, men argaďi, taŋčisatkan.",,,,,,,
А Ое знай себе тянет.,,,,,,,
,,,,,,,
Oje,Oje,Ое,Oje,PROPN,,,
bidei,bi-de-i,быть-purp-poss.refl.sg,bidej,VERB,,,
",",,,,PUNCT,,,
men,men,refl,meni,PRON,,,
argaďi,arga-ďi,привычка-ins.poss.refl.sg,argan,NOUN,,,
",",,,,PUNCT,,,
taŋčisatkan,taŋči-sa=tkan,тянуть-suff=restr,taŋčidaj,VERB,,,
.,,,,PUNCT,,,
,,,,,,,
,,,,,,,
23,,,,,,,
"tačin nan itendu apkattan čelewen, kasagčimi ojčiwdai umarla.",,,,,,,
"И так всех и передушил подряд, пока затаскивал на гнездо.",,,,,,,
,,,,,,,
tačin,tačin,так,tačin,ADV,,,
nan,nan,и,ɲan,CCONJ,,,
itendu,i-ten=du,dem.q-poss.3pl=quant,irek,PRON,,,
apkattan,apka-t-ta-n,удушить-res-nfut-3sg,apkadaj,VERB,,,
čelewen,čele-we-n,весь-acc-poss.3sg,čeled'ur,DET,,,
",",,,,PUNCT,,,
kasagčimi,kasag-či-mi,упрямый-res-cond.ss,kasagdaj,VERB,,,
ojčiwdai,ojči-w-da-i,подниматься-ad-purp-poss.refl.sg,ojčidaj,VERB,,,
umarla,umar-la,гнездо-loc,umar,NOUN,,,
.,,,,PUNCT,,,
,,,,,,,
,,,,,,,
24,,,,,,,
"goru ollotča, emnen etəken urimkendula.",,,,,,,
"Долго проездив, прибыл старик к намеченной стоянке.",,,,,,,
,,,,,,,
goru,gor-u,долгий-acc,goru,ADV,,,
ollotča,ol-lot-ča,поездить-freq-ptc.pst,ɵldej,VERB,,,
",",,,,PUNCT,,,
emnen,em-ne-n,приходить-nfut-3sg,emdej,VERB,,,
etəken,etəken,старик,etiken,NOUN,,,
urimkendula,urimken-dula,место.остановки-loc,ɵrimkin,NOUN,,,
.,,,,PUNCT,,,
,,,,,,,
,,,,,,,
25,,,,,,,
"ďu ilede ačča, aninusin ičuden.",,,,,,,
Юрты нигде нет и дыма костра не видно.,,,,,,,
,,,,,,,
ďu,ďu,дом,d'u,NOUN,,,
ilede,i-le=de,dem.q-loc=add,irek,PRON,,,
ačča,ačča,neg.pred,ečče,AUX,,,
",",,,,PUNCT,,,
aninusin,anin=usin,дым=ptcl.cond,anin,NOUN,,,
ičuden,ič-u-de-n,видеть-ad-nfut-3sg,ittej,VERB,,,
.,,,,PUNCT,,,
,,,,,,,
,,,,,,,
26,,,,,,,
utə eriniďillen.,,,,,,,
Стал звать сына.,,,,,,,
,,,,,,,
utə,ut-ə,сын-poss.refl.sg,ut,NOUN,,,
eriniďillen,erini-ďi-l-le-n,звать-prog-inch-nfut-3sg,eridej,VERB,,,
.,,,,PUNCT,,,
,,,,,,,
,,,,,,,
27,,,,,,,
"- erke bisem, aka.",,,,,,,
"— Я здесь, отец.",,,,,,,
,,,,,,,
-,,,,PUNCT,,,
erke,er=ke,dem.prox=emph,erek,ADV,,,
bisem,bi-se-m,быть-nfut-1sg,bidej,VERB,,,
",",,,,PUNCT,,,
aka,aka,отец,aka,NOUN,,,
.,,,,PUNCT,,,
,,,,,,,
,,,,,,,
28,,,,,,,
"- Oje eŋennə umarduk, uklesnən ačulariďi.",,,,,,,
"Ое выглянул из гнезда, где он уснул от усталости.",,,,,,,
,,,,,,,
-,,,,PUNCT,,,
Oje,Oje,Ое,Oje,PROPN,,,
eŋennə,eŋe-n-nə,выглядывать-nfut-3sg,eŋendej,VERB,,,
umarduk,umar-duk,гнездо-abl,umar,NOUN,,,
",",,,,PUNCT,,,
uklesnən,ukle-snə-⊘-n,спать-mom-nfut-3sg,uklesnedej,VERB,,,
ačulariďi,ačula-riďi,устать-ant.sg,ačuldaj,VERB,,,
.,,,,PUNCT,,,
,,,,,,,
,,,,,,,
29,,,,,,,
- jaw tala gelneris?,,,,,,,
— Ты зачем туда-то залез?,,,,,,,
,,,,,,,
-,,,,PUNCT,,,
jaw,ja-w,что-acc,jak,NOUN,,,
tala,ta-la,dem.dist-loc,tarak,ADV,,,
gelneris,gel-ne-ri-s,искать-mcp-pst-2sg,geledej,VERB,,,
?,,,,PUNCT,,,
,,,,,,,
,,,,,,,
30,,,,,,,
učikel jami desčir?,,,,,,,
А олени почему мёртвые?,,,,,,,
,,,,,,,
učikel,učike-l,верховой.олень-pl,učik,NOUN,,,
jami,jami,почему,jami,ADV,,,
desčir,desči-r,лежать-ptc.nfut,desčidej,VERB,,,
?,,,,PUNCT,,,
,,,,,,,
,,,,,,,
31,,,,,,,
"- bejďikke gunəs, edu inegdeku.",,,,,,,
"— Сам же сказал, чтобы здесь их развьючить.",,,,,,,
,,,,,,,
-,,,,PUNCT,,,
bejďikke,bej-ďi=kke,человек-ins.poss.refl.sg=emph,bej,NOUN,,,
gunəs,gu-nə-s,сказать-pst-2sg,gɵndej,VERB,,,
",",,,,PUNCT,,,
edu,e-du,dem.prox-dat,erek,ADV,,,
inegdeku,ineg-de-ku,разгрузить-purp-1sg,inegdej,VERB,,,
.,,,,PUNCT,,,
,,,,,,,
,,,,,,,
32,,,,,,,
"bi nan oj čiwkattəwu eweski, ojčiweddəwu, erel nan ečin...",,,,,,,
"Я и поднимал их сюда, поднимал, а они вот...",,,,,,,
,,,,,,,
bi,bi,я,bi,PRON,,,
nan,nan,и,ɲan,CCONJ,,,
ojčiwkattəwu,ojči-wka-t-tə-wu,подниматься-caus-prog-pst-1sg,,VERB,,,
eweski,eweski,сюда,awaski,ADV,,,
",",,,,PUNCT,,,
ojčiweddəwu,ojči-we-d-də-wu,поднматься-ad-prog-pst-1sg,ojčiwdej,VERB,,,
",",,,,PUNCT,,,
erel,ere-l,dem.prox-pl,erek,PRON,,,
nan,nan,и,ɲan,CCONJ,,,
ečin,ečin,этак,ečin,ADV,,,
...,,,,PUNCT,,,
,,,,,,,
,,,,,,,
33,,,,,,,
tabač ine: urgeten...,,,,,,,
Ну и тяжёлые...,,,,,,,
,,,,,,,
tabač,tabač,а.это,tabač,ADV,,,
ine,ine,intj,ine,INTJ,,,
:,,,,PUNCT,,,
urgeten,urge-⊘-ten,тяжёлый-nfut-3pl,urgedej,VERB,,,
...,,,,PUNCT,,,
,,,,,,,
,,,,,,,
34,,,,,,,
- ero ajďitta jakawuč bisennə!,,,,,,,
"— Ох, и действительно ты у меня какой-то!",,,,,,,
,,,,,,,
-,,,,PUNCT,,,
ero,ero,вот,ero,PART,,,
ajďitta,ajďit=ta,правда=add,ajd'it,NOUN,,,
jakawuč,ja=ka=wuč,что=emph=indef,jak,PRON,,,
bisennə,bi-se-nnə,быть-nfut-2sg,bidej,VERB,,,
!,,,,PUNCT,,,
,,,,,,,
,,,,,,,
35,,,,,,,
ilgičinsitkan!,,,,,,,
Одна беда с тобой!,,,,,,,
,,,,,,,
ilgičinsitkan,ilgiči-⊘-n=si=tkan,мучить-nfut-3sg=emph=restr,ilgittaj,VERB,,,
!,,,,PUNCT,,,
,,,,,,,
,,,,,,,
36,,,,,,,
ilada bisiw ormur inunnə.,,,,,,,
Последних оленей загубил.,,,,,,,
,,,,,,,
ilada,i-la=da,dem.q-loc=add,irek,PRON,,,
bisiw,bi-si-w,быть-pst-1sg,bidej,VERB,,,
ormur,or-mur,олень.pl-poss.refl.pl,oran,NOUN,,,
inunnə,in-u-n-nə,нести.на.спине-ad-nfut-3sg,inudaj,VERB,,,
.,,,,PUNCT,,,
,,,,,,,
,,,,,,,
37,,,,,,,
Ondatusin čas kolunalə.,,,,,,,
Хоть Ондата напоишь.,,,,,,,
,,,,,,,
Ondatusin,Ondat=usin,Ондат=ptcl.cond,Ondat,PROPN,,,
čas,čas,ну,čas,INTJ,,,
kolunalə,kol-u-na-lə,пить-ad-mcp-imp,koldaj,VERB,,,
.,,,,PUNCT,,,
,,,,,,,
,,,,,,,
38,,,,,,,
elgesnen Oje učiku.,,,,,,,
Повёл Ое верхового.,,,,,,,
,,,,,,,
elgesnen,elge-sne-⊘-n,увести-mom-nfut-3sg,elgesnedej,VERB,,,
Oje,Oje,Ое,Oje,PROPN,,,
učiku,učik-u,верховой.олень-acc,,NOUN,,,
.,,,,PUNCT,,,
,,,,,,,
,,,,,,,
39,,,,,,,
"tarknun jaldəwen, meluŋčin mule taduk Ondatu mentekii tandai.",,,,,,,
"Но Ое, всё ему нипочём, спрыгнул в воду и тянет за собой Ондата.",,,,,,,
,,,,,,,
tarknun,tark-nun,dem.dist-com,tarak,ADV,,,
jaldəwen,ja-ldəwen,что-nmz.tool,jak,NOUN,,,
",",,,,PUNCT,,,
meluŋčin,meluŋči-∅-n,прыгнуть-nfut-3sg,meluŋčidej,VERB,,,
mule,mu-le,вода-loc,mɵ,NOUN,,,
taduk,ta-duk,dem.dist-abl,tarak,ADV,,,
Ondatu,Ondat-u,Ондат-acc,Ondat,PROPN,,,
mentekii,men-teki-i,refl-dir-poss.refl.sg,meni,PRON,,,
tandai,tan-da-i,тянуть-purp-poss.refl.sg,tandaj,VERB,,,
.,,,,PUNCT,,,
,,,,,,,
,,,,,,,
40,,,,,,,
tarak dənmek.,,,,,,,
Тот ни с места.,,,,,,,
,,,,,,,
tarak,tarak,dem.dist,tarak,ADV,,,
dənmek,dən=mek,величина=restr2,дын,NOUN,,,
.,,,,PUNCT,,,
,,,,,,,
,,,,,,,
41,,,,,,,
"ekič, - ďulden emkermek.",,,,,,,
"Ну никак, перед ним же обрыв.",,,,,,,
,,,,,,,
ekič,ekič,невозможно,ekič,ADV,,,
",",,,,PUNCT,,,
-,,,,PUNCT,,,
ďulden,ďulde-n,перед-poss.3sg,d'ulde,NOUN,,,
emkermek,emker=mek,обрыв=restr2,emker,NOUN,,,
.,,,,PUNCT,,,
,,,,,,,
,,,,,,,
42,,,,,,,
- ge čog!,,,,,,,
— Ну давай!,,,,,,,
,,,,,,,
-,,,,PUNCT,,,
ge,ge,ну,ge,INTJ,,,
čog,čog,давай,čog,INTJ,,,
!,,,,PUNCT,,,
,,,,,,,
,,,,,,,
43,,,,,,,
"ek, ek!",,,,,,,
"Эк, эк!",,,,,,,
,,,,,,,
ek,ek,intj,ek,INTJ,,,
",",,,,PUNCT,,,
ek,ek,intj,ek,INTJ,,,
!,,,,PUNCT,,,
,,,,,,,
,,,,,,,
44,,,,,,,
erekusinde!,,,,,,,
-,,,,,,,
,,,,,,,
,,,,,,,
erekusinde,erek=usin=de,dem.prox=ptcl.cond=add,erek,ADV,,,
!,,,,PUNCT,,,
,,,,,,,
,,,,,,,
45,,,,,,,
"eg, eg!",,,,,,,
"Эг, эг!",,,,,,,
,,,,,,,
eg,eg,intj,eg,INTJ,,,
",",,,,PUNCT,,,
eg,eg,intj,eg,INTJ,,,
!,,,,PUNCT,,,
,,,,,,,
,,,,,,,
46,,,,,,,
"jannə, muč ŋelennə, - akuwren tail bidei.",,,,,,,
"Да что же ты, воды боишься? - выходит из себя дурак.",,,,,,,
,,,,,,,
jannə,ja-⊘-nnə,что-nfut-2sg,jak,PRON,,,
",",,,,PUNCT,,,
muč,mu-č,вода-ins,mɵ,NOUN,,,
ŋelennə,ŋele-⊘-nnə,бояться-nfut-2sg,ŋeledej,VERB,,,
",",,,,PUNCT,,,
-,,,,PUNCT,,,
akuwren,akuw-re-n,ошалеть-nfut-3sg,akuwdaj,VERB,,,
tail,tail,дурак,tail,NOUN,,,
bidei,bi-de-i,быть-purp-poss.refl.sg,bidej,VERB,,,
.,,,,PUNCT,,,
,,,,,,,
,,,,,,,
47,,,,,,,
"- bannə budelə uldai, a?!",,,,,,,
"— Или боишься ноги замочить, а?!",,,,,,,
,,,,,,,
-,,,,PUNCT,,,
bannə,ba-⊘-nnə,лениться-nfut-2sg,badaj,VERB,,,
budelə,budelə,нога,budele,NOUN,,,
uldai,ul-da-i,намочить-purp-poss.refl.sg,uldaj,VERB,,,
",",,,,PUNCT,,,
a,a,а,a,INTJ,,,
?,,,,PUNCT,,,
!,,,,PUNCT,,,
,,,,,,,
,,,,,,,
48,,,,,,,
ge nuktaku bi inu!,,,,,,,
Давай тогда я тебя разую!,,,,,,,
,,,,,,,
ge,ge,ну,ge,INTJ,,,
nuktaku,nuk-ta-ku,раздевать-purp-1sg,nuktaj,VERB,,,
bi,bi,я,bi,PRON,,,
inu,in-u,ты.obl-acc,i,PRON,,,
!,,,,PUNCT,,,
,,,,,,,
,,,,,,,
49,,,,,,,
tadut tənən kabaŋai nan okin čelemewen Ondatə osellon.,,,,,,,
Тут же свалил оленя и снял камусы со всех ног Ондата.,,,,,,,
,,,,,,,
tadut,ta-du=t,dem.dist-dat=foc,tarak,ADV,,,
tənən,tə-nə-n,отпускать-pst-3sg,tindej,VERB,,,
kabaŋai,kaba-ŋa-i,кабан-dst-poss.refl.sg,kaban,NOUN,,,
nan,nan,и,ɲan,CCONJ,,,
okin,oki-⊘-n,разрезать-nfut-3sg,ɵkidej,VERB,,,
čelemewen,čele=me-we-n,все=ints-acc-poss.3sg,čeled'ur,DET,,,
Ondatə,Ondatə,Ондат,Ondat,PROPN,,,
osellon,osel-lo-n,камус-acc-poss.3sg,osal,NOUN,1,,
.,,,,PUNCT,,,
,,,,,,,
,,,,,,,
50,,,,,,,
"u rep nan awaski urďin, tarmamadut koken eregle.",,,,,,,
"Ну куда тому деваться, там же дух и испустил.",,,,,,,
,,,,,,,
urep,urep,прежний,urep,ADJ,,,
nan,nan,и,ɲan,CCONJ,,,
awaski,awaski,куда,awaski,ADV,,,
urďin,ur-ďi-n,уходить-fut-3sg,ɵrdej,VERB,,,
",",,,,PUNCT,,,
tarmamadut,tarmama-du=t,там.же-dat=foc,tarmama,ADV,,,
koken,koken,гибель,koken,NOUN,,,
eregle,eregle,совсем,eregle,ADV,,,
.,,,,PUNCT,,,
,,,,,,,
,,,,,,,
51,,,,,,,
"etəken olballəďi eŋenedden, jami tačiken beripten urkaŋen.",,,,,,,
"Старику надоело ждать, и он пошёл смотреть, почему так долго нет сына.",,,,,,,
,,,,,,,
etəken,etəken,старик,etiken,NOUN,,,
olballəďi,olba-l-ləďi,опаздывать-inch-ant.sg,olbadaj,VERB,,,
eŋenedden,eŋene-d-de-n,посмотреть-prog-nfut-3sg,eŋendej,VERB,,,
",",,,,PUNCT,,,
jami,jami,почему,jami,ADV,,,
tačiken,tačiken,настолько,tačiken,ADV,,,
beripten,beri-p-te-n,терять-med-nfut-3sg,beriptej,VERB,,,
urkaŋen,urka-ŋe-n,юноша-dst-poss.3sg,urken,NOUN,,,
.,,,,PUNCT,,,
,,,,,,,
,,,,,,,
52,,,,,,,
itten okerepu Ondatu nan tadut tegren.,,,,,,,
Увидел бездыханного Ондата да так и сел.,,,,,,,
,,,,,,,
itten,it-te-n,видеть-nfut-3sg,ittej,VERB,,,
okerepu,okerep-u,бездыханный-acc,okerep,ADJ,,,
Ondatu,Ondat-u,Ондат-acc,Ondat,PROPN,,,
nan,nan,и,ɲan,CCONJ,,,
tadut,ta-du=t,dem.dist-dat=foc,tarak,ADV,,,
tegren,teg-re-n,сесть-nfut-3sg,tegdej,VERB,,,
.,,,,PUNCT,,,
,,,,,,,
,,,,,,,
53,,,,,,,
boler nŋku ďučamuten kumtən.,,,,,,,
Ночь осенняя нависла над юрточкой.,,,,,,,
,,,,,,,
boler,bole-r,осень-adj.time,boler,ADJ,,,
nŋku,iŋku,тёмная.ночь,iŋku,NOUN,,,
ďučamuten,ďu-ča-mu-ten,дом-dim2-acc-poss.3pl,d'učan,NOUN,,,
kumtən,kumtə-⊘-n,опрокинуть-nfut-3sg,kumtedej,VERB,,,
.,,,,PUNCT,,,
,,,,,,,
,,,,,,,
54,,,,,,,
"etəken bukčenən ɲərkedu, ečumi čunəneďennen.",,,,,,,
"Старик прилёг у очага, тяжко вздыхает.",,,,,,,
,,,,,,,
etəken,etəken,старик,etiken,NOUN,,,
bukčenən,bukče-nə-n,сгорбиться-pst-3sg,bɵkčendej,VERB,,,
ɲərkedu,ɲərke-du,очаг-dat,ɲerke,NOUN,,,
",",,,,PUNCT,,,
ečumi,ečumi,тяжко,ečumi,ADV,,,
čunəneďennen,čunəne-ďen-ne-n,вздыхать-dur-nfut-3sg,čɵnindej,VERB,,,
.,,,,PUNCT,,,
,,,,,,,
,,,,,,,
55,,,,,,,
"enəjelu enəje, ormi mukeidden, umnəten inəten bičew.",,,,,,,
"Ох, как жалко ему оленей, последнюю надежду жизни.",,,,,,,
,,,,,,,
enəjelu,enəje=lu,больно=emph,eneje,ADV,,,
enəje,enəje,больно,eneje,ADV,,,
",",,,,PUNCT,,,
ormi,or-mi,олень-poss.refl.sg,oran,NOUN,,,
mukeidden,mukei-d-de-n,жалеть-prog-nfut-3sg,mukeidej,VERB,,,
",",,,,PUNCT,,,
umnəten,umnə-ten,единственный-poss.3pl,ɵmni,ADJ,,,
inəten,inə-ten,жизнь-poss.3pl,ini,NOUN,,,
bičew,bi-če-w,быть-ptc.pst-acc,bidej,VERB,,,
.,,,,PUNCT,,,
,,,,,,,
,,,,,,,
56,,,,,,,
- on tək?,,,,,,,
— Как теперь?,,,,,,,
,,,,,,,
-,,,,PUNCT,,,
on,on,как,on,ADV,,,
tək,tək,сейчас,t'ek,ADV,,,
?,,,,PUNCT,,,
,,,,,,,
,,,,,,,
57,,,,,,,
